round_number,duel_id,timestamp,oliver_guess,viggo_guess,us_score,best_opponent_guess,opponent_score,country_code,round_location,state
8,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"-23.621971054024076, -69.32276255371808","-19.35946961839296, -69.89702849932188",4845,"-23.253375543622955, -69.73117235719161",4995,cl,"-23.242238490482627, -69.71750256348744",NM
9,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"49.35968660241969, -86.43480153533429","62.56587535637797, 10.927628865852554",4416,"59.23800700692777, 8.81610120498895",4554,no,"60.794466624518904, 8.66452822833507",NM
10,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"47.22210472984523, 7.596108710726104","47.44826182759554, 8.789797025080599",4901,"47.09967411813599, 7.852064430431471",4885,ch,"47.485738272048664, 7.894397051362096",NM
11,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"-8.556138905829261, 117.80926479340256","-9.555923492606855, 121.97020110665466",4727,"-7.202939077448354, 112.57438559673675",2795,id,"-8.661714421489078, 122.25312394479006",NM
1,661237d2-b264-4871-806b-2e1a378afbef,2024-10-05 19:03:08,"-14.90878184663875, -72.78221398031651","-5.266979135231681, -80.18568095565959",4078,"-14.874007333883977, -72.32200733036825",4162,pe,"-16.74105329159489, -69.80524387749836",NM
2,661237d2-b264-4871-806b-2e1a378afbef,2024-10-05 19:03:08,"44.78743570479702, 3.5725233503714193","45.74731587054326, 16.082739984675577",4122,"45.019257605263256, 11.450315061240047",4337,it,"44.81712771445111, 8.113176282361263",NM
3,661237d2-b264-4871-806b-2e1a378afbef,2024-10-05 19:03:08,"45.166451153339885, -92.1579316771548","36.075857608179156, -80.38406172749526",3538,"35.591493287450795, -81.00416727734759",3668,us,"34.40784794793454, -87.14557998777197",NM
4,661237d2-b264-4871-806b-2e1a378afbef,2024-10-05 19:03:08,"-34.337729474319936, 21.8718641332362","-32.985722727297656, 27.28882615827918",4979,"-33.802635299256494, 23.944379193877683",4485,za,"-34.276911190118625, 21.832867256181306",NM
5,661237d2-b264-4871-806b-2e1a378afbef,2024-10-05 19:03:08,"36.83839331536645, -90.1359312378599","46.19356629863812, -95.5617908722043",4717,"39.199431713449094, -98.02864131033981",3368,us,"45.35521216719906, -94.8591012820955",NM
6,661237d2-b264-4871-806b-2e1a378afbef,2024-10-05 19:03:08,"20.463990617581786, -101.51512841217509","-0.9901446744280953, -78.42446862200617",2793,"-40.76099507832042, -72.91037668982682",135,mx,"16.758660201617808, -92.04410206076696",NM
